Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date
1.65154E+12,0.6143,0.628,0.5961,0.6047,284044788,1.65162E+12,174187576.7,192989,143379359,87912050.89,0,03-05-2022
1.65162E+12,0.6047,0.65,0.6039,0.6459,345607731,1.65171E+12,214781739.9,250260,180231681,112007405.5,0,04-05-2022
1.65171E+12,0.646,0.6572,0.5801,0.5981,446938464,1.6518E+12,275475127.5,326425,218395211,134801102.9,0,05-05-2022
1.6518E+12,0.5981,0.6164,0.5875,0.6022,363872112,1.65188E+12,218917267.9,281104,183578252,110428735,0,06-05-2022
1.65188E+12,0.6022,0.6044,0.5692,0.5808,243420987,1.65197E+12,144029120.1,162836,113155415,66938455.6,0,07-05-2022
1.65197E+12,0.5808,0.5833,0.5572,0.5662,335981906,1.65205E+12,191966430.3,204020,163008531,93148806.95,0,08-05-2022
1.65205E+12,0.5663,0.5789,0.47,0.4873,841979616.3,1.65214E+12,440258885.1,614982,401707901.9,210048266.5,0,09-05-2022
1.65214E+12,0.4872,0.5371,0.4722,0.513,900790302,1.65223E+12,459950527.4,637387,434905375,222042162.2,0,10-05-2022
1.65223E+12,0.513,0.5253,0.3646,0.4172,1598443681,1.65231E+12,731722915.3,1259135,752855735.9,345813793.8,0,11-05-2022
1.65231E+12,0.4172,0.4296,0.3361,0.3856,1567507932,1.6524E+12,594186113.5,1276059,782977731.1,296900375.3,0,12-05-2022
1.6524E+12,0.3856,0.4659,0.3813,0.4228,698396767,1.65249E+12,301967793.8,550622,346804900,149919526.2,0,13-05-2022
1.65249E+12,0.4229,0.441,0.3955,0.4262,442845171,1.65257E+12,185744367.7,346940,213778456,89698073.35,0,14-05-2022
1.65257E+12,0.4262,0.45,0.4149,0.4481,267739238,1.65266E+12,114744354.5,215477,131021667,56191165.34,0,15-05-2022
1.65266E+12,0.4481,0.4481,0.4087,0.4231,433909248,1.65275E+12,183880284.6,305356,224928418,95326831.91,0,16-05-2022
1.65275E+12,0.4231,0.4403,0.417,0.438,376428299,1.65283E+12,162168648.9,251858,190488659,82052620.19,0,17-05-2022
1.65283E+12,0.438,0.4428,0.4037,0.4056,370954228,1.65292E+12,155713298.6,236704,182418848,76564760.92,0,18-05-2022
1.65292E+12,0.4056,0.4242,0.3908,0.4205,285465302,1.653E+12,116869173.8,199622,145656295,59625099.75,0,19-05-2022
1.653E+12,0.4205,0.4407,0.4016,0.4101,358049438,1.65309E+12,150932151.8,221270,180661797,76181126.82,0,20-05-2022
1.65309E+12,0.4101,0.4183,0.403,0.4145,144232225,1.65318E+12,59372483.58,92445,69925202,28783850.47,0,21-05-2022
1.65318E+12,0.4144,0.4255,0.4101,0.4218,143783091,1.65326E+12,60032697.61,93691,72502293,30272080.66,0,22-05-2022
1.65326E+12,0.4217,0.4287,0.4002,0.4052,301434382,1.65335E+12,126188136.6,179962,148486545,62121844.63,0,23-05-2022
1.65335E+12,0.4052,0.4138,0.3908,0.4086,309724750,1.65344E+12,125344682.7,147275,154087251,62396369.65,0,24-05-2022
1.65344E+12,0.4087,0.4138,0.3948,0.406,414339536,1.65352E+12,167969372.2,161858,197113019,79917672.74,0,25-05-2022
1.65352E+12,0.4061,0.4109,0.3753,0.392,626704757,1.65361E+12,246729969.6,251980,308901803,121570237.2,0,26-05-2022
1.65361E+12,0.3921,0.4032,0.3764,0.3819,549974246,1.6537E+12,214888250.2,235251,280708552,109682355.9,0,27-05-2022
1.6537E+12,0.382,0.389,0.3805,0.3863,232996058,1.65378E+12,89731706.81,101729,121012872,46598972.85,0,28-05-2022
1.65378E+12,0.3863,0.3908,0.3794,0.3891,190159222,1.65387E+12,73294559.5,80104,96943524,37370321.23,0,29-05-2022
1.65387E+12,0.3891,0.4197,0.3866,0.4187,371239281,1.65396E+12,149384767,167873,194236066,78160019.89,0,30-05-2022
1.65396E+12,0.4188,0.4342,0.4065,0.4217,422313633,1.65404E+12,176780178.8,207019,202580617,84806064.91,0,31-05-2022
1.65404E+12,0.4217,0.4266,0.3887,0.398,436983828,1.65413E+12,178928611.6,200731,215019403,88095126.2,0,01-06-2022
1.65413E+12,0.3981,0.4072,0.3907,0.4055,350695114,1.65421E+12,139400566.5,147596,176870397,70287103.19,0,02-06-2022
1.65421E+12,0.4054,0.4105,0.3839,0.3904,283788604,1.6543E+12,112542326.4,148952,151980865,60257602.4,0,03-06-2022
1.6543E+12,0.3903,0.3944,0.3846,0.3925,134031506,1.65439E+12,52239259.28,77118,66545797,25932690.74,0,04-06-2022
1.65439E+12,0.3925,0.3995,0.3895,0.3953,134209649,1.65447E+12,52902644.57,73022,71195640,28064605.85,0,05-06-2022
1.65447E+12,0.3954,0.4099,0.394,0.4026,253767142,1.65456E+12,102110040.3,130186,142292704,57276098.75,0,06-06-2022
1.65456E+12,0.4027,0.4175,0.3846,0.4076,418785041,1.65465E+12,166280541.4,220088,203201721,80682320.45,0,07-06-2022
1.65465E+12,0.4076,0.4104,0.3947,0.4006,307076296,1.65473E+12,123154505,165487,152660760,61224554.04,0,08-06-2022
1.65473E+12,0.4007,0.4041,0.3965,0.4002,253775318,1.65482E+12,101687547.3,108685,124321103,49825724.72,0,09-06-2022
1.65482E+12,0.4002,0.4118,0.3762,0.3815,399808206,1.65491E+12,157089536.9,194473,195917016,77041301.03,0,10-06-2022
1.65491E+12,0.3815,0.3887,0.3557,0.3599,335176735,1.65499E+12,124317448,162752,165214003,61258649.77,0,11-06-2022
1.65499E+12,0.3598,0.3654,0.3394,0.3433,427316144,1.65508E+12,149735662.4,211927,202677787,71035077.42,0,12-06-2022
1.65508E+12,0.3433,0.3507,0.3012,0.3118,1028751993,1.65516E+12,328637316.3,508115,510439919,163052865.5,0,13-06-2022
